title,price,rating,reviews_count,free_delivery,deal_badge,amoled,hd_display,lcd,oled,gps,bluetooth,calling,alexa,heart_rate,spo2,sleep,blood_oxygen,sports,fitness_tracker,step_counter,waterproof,ip68,ip67,5atm,men,women,kids,short_name,price_segment,is_popular
"punnkfunnk evo vista smartwatch, 1.3” hd display bluetooth calling metal smartwatch, fitness & sleep tracker, 100+ sports modes, ip67 waterproof compatible with android & ios(silver)",1399.0,3.4,238.0,True,,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,"punnkfunnk evo vista smartwatch, 1.3”",Budget,0
"noise diva smartwatch with diamond cut dial, glossy metallic finish, amoled display, mesh metal and leather strap options, 100+ watch faces, female cycle tracker smart watch for women (gold link)",3499.0,4.2,4300.0,True,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,noise diva smartwatch with diamond,Mid-Range,1
"fastrack volt s1 smart watch for man and women latest with 1.83"" display, silicone strap, bt calling, 100+ sports modes, heart rate, spo2, ip68, ideal smartwatch for boys and girls (teal)",1599.0,4.1,249.0,True,,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,fastrack volt s1 smart watch,Budget,0
"gamesir h18 pro smartwatch with long battery life, 2.01"" high-resolution screen, bluetooth calling, ip68 waterproof, tft display, luxury design for men & women (grey)",939.0,3.9,116.0,True,Limited time deal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,gamesir h18 pro smartwatch with,Budget,0
"goboult pyro smartwatch 1.43''amoled screen, bt calling 5.3,600nits brightness, ip68,150+watchfaces,120+sports modes, ai voice assistant, spo2 monitoring (platinum gold)",2499.0,4.1,11.0,True,,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,"goboult pyro smartwatch 1.43''amoled screen,",Budget,0
"redmi watch 5 active, 2"" display, metal body, 18 day battery, bluetooth calling, advanced ai noise cancellation, alexa, matte silver (m2351w1)",1999.0,4.1,1000.0,True,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"redmi watch 5 active, 2""",Budget,0
"titan crest 1.43” amoled smart watch with bt calling, ai morning briefs, functional crown, health tracking, aluminium body, 100+ sports modes, smartwatch for men and women - black silicone strap",4999.0,4.0,726.0,True,,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,titan crest 1.43” amoled smart,Mid-Range,0
"goboult drift+ smart watch 1.85''hd screen, bluetooth calling, ip68, 500 nits brightness,150+ watchfaces, ai voice assistant, spo2 monitoring, 100+ sports mode smartwatch (jet black)",1199.0,4.0,717.0,True,,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,goboult drift+ smart watch 1.85''hd,Budget,0
"boat storm infinity w/15 days extensive battery life, only charge twice a month, huge 550mah battery, fast charge, 1.83”(4.65cm) display, fitness tracker, smart watch for men & women (active black)",1499.0,4.0,873.0,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,boat storm infinity w/15 days,Budget,0
"boat lunar oasis w/tbt navigation, qr tray, watch face studio, bluetooth calling, emergency sos 1.43"" (3.6 cm) amoled display fitness smart watch for men & women(olive green)",3499.0,3.7,963.0,True,,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"boat lunar oasis w/tbt navigation,",Mid-Range,0
"titan aira 1.70"" amoled metal case square display smart watch with silicone strap stress monitoring, 1000 nits, functional crown, ai enabled, ip68 water resistant upto 7 days battery life- pink",6999.0,4.3,56.0,True,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"titan aira 1.70"" amoled metal",Mid-Range,0
